video_id,title,views,likes,comments,days_since_release,channel_subscribers,acoustic_danceability,acoustic_energy,acoustic_loudness,acoustic_speechiness,acoustic_acousticness,acoustic_instrumentalness,acoustic_liveness,acoustic_valence,acoustic_tempo,acoustic_duration_ms,acoustic_spectral_centroid,acoustic_spectral_rolloff,acoustic_spectral_contrast,acoustic_zero_crossing_rate,acoustic_chroma_stft,acoustic_rmse_energy,acoustic_mfcc_1,acoustic_mfcc_2,acoustic_mfcc_3,acoustic_mfcc_4,acoustic_mfcc_5,acoustic_mfcc_6,acoustic_mfcc_7,acoustic_mfcc_8,acoustic_mfcc_9,acoustic_mfcc_10,acoustic_mfcc_11,acoustic_mfcc_12,acoustic_mfcc_13,acoustic_mfcc_14,acoustic_mfcc_15,target_popularity,like_to_view_ratio,comment_to_view_ratio
E0Y8OEo_zOc,Pop Music 2025 - Top Pop Songs 2025 - Billboard Top 100 🎧🔥 Justin Bieber Billie Eilish Miley Cyrus,2132224,4985,247,321,1230000,0.2652128024504732,0.6708706679642393,0.992966260992159,0.7231151044102287,0.5435805811303916,0.84862340749622,0.1060174354046509,0.8090898282689656,0.6235578811082741,0.9891970956042015,0.9962247815409728,0.7364908513462123,0.5649734986536933,0.7026875441870732,0.750061417153185,0.2871702095109014,0.6190791678715841,0.77646198461543,0.4804343143284264,0.4749495269916762,0.0698660392431904,0.7828129701022176,0.3411677311153247,0.1120271509185211,0.9937315511211346,0.401340249748855,0.1947402143821789,0.6562130938145784,0.2795090039558716,0.8208264188064677,0.4622443071021745,14.575011798074083,0.002337933379451,0.0001158414332446
-CXDKsZY80I,"Top 20 Pop Songs 2025 ♫ Bruno Mars, Lady Gaga, Dua Lipa, Adele, Ed Sheeran, The Weeknd #18",6166956,0,507,256,26800,0.5035771456692154,0.1249994444771906,0.1519380901490242,0.3388079742474319,0.2470740725751847,0.3291205533339907,0.1268015854412275,0.7280795268199954,0.9767043597569722,0.790936781763022,0.4465354135292271,0.395079817436511,0.4471152605338542,0.0811031349424339,0.2252649976084104,0.7254435663445744,0.0154238764491424,0.2986914383102077,0.2819577952835018,0.6560447239580028,0.6795351119981409,0.8539379472066919,0.673709652698612,0.0842429351026322,0.4869985457314446,0.5650645138021577,0.2646902899077807,0.2090932989070877,0.5379461286342497,0.9270340759347332,0.3122579778897766,15.634716081353243,0.0,8.221234557010856e-05
nXeEQTnfljo,"Spotify Pop Hits 2025 🔥 Lady Gaga, Bruno Mars, Ed Sheeran, Billie Eilish, Miley Cyrus, Tate McRae #1",6428777,19248,467,295,11700,0.6681579398434814,0.0859314490818811,0.5944601933372713,0.4315030703116849,0.9746152395942866,0.4561928640956131,0.6438396807761168,0.5968270674133651,0.6117880308101786,0.5906476206130502,0.017365704555756,0.4472475028781068,0.0615093068207176,0.6185791653638559,0.9199404623053056,0.2428517255792975,0.324298310936791,0.2818296756184517,0.1838738959265891,0.4483254948593443,0.3932307016299151,0.3254821396475456,0.7512411247131429,0.3338833635485492,0.5915851344261158,0.1899786002398114,0.067459077593503,0.4712290587514042,0.939193706929271,0.7180204737874176,0.3271054720371713,15.679284595418537,0.0029940371249403,7.264211021130299e-05
fTKqtvXjkvo,Top Hits 2026 ~ Trending Songs 2026 ~ Top Songs 2026 Top Music 🎶🎧,41625277,95453,5097,336,1230000,0.8431171911076998,0.1076659295662021,0.6888934101397447,0.0901434378790483,0.2747846856010644,0.4786367946997101,0.5911326556752715,0.6628461607087889,0.3973181012791834,0.315986807571528,0.2004952603895706,0.7093507244270144,0.7415731058803671,0.4228003232836234,0.1605634848480603,0.4783335818288953,0.5012567755145859,0.3707520157589227,0.7740015601479651,0.6902349345675991,0.3865018065191055,0.7594701941288797,0.3816731150085798,0.5269575069056704,0.6435841633602617,0.6233900470344689,0.0735676486589346,0.4391910659367255,0.2011394658680897,0.1397013564932364,0.9452148323993776,17.54650870951573,0.0022931498499541,0.0001224496326486
WBy8ETk_Fqs,"Spotify Pop Hits 2026 ♫ Lady Gaga, Bruno Mars, Ed Sheeran, Billie Eilish, Miley Cyrus, Tate McRae#13",5145415,0,291,234,26800,0.7125613548296307,0.4944270721382575,0.3296778645828773,0.569659571319106,0.9080464005293546,0.3614410335180729,0.1204336454541117,0.992287047582524,0.284630401504522,0.6203595630533126,0.2363575386733126,0.9964646448462502,0.144004130706758,0.8243416166257032,0.2372165740517621,0.0151525495786841,0.978720252258704,0.7919791992912217,0.9973524843202332,0.4960086195108589,0.2430223620368663,0.3127970724617135,0.7910765672011757,0.3577638393545695,0.5374600737545198,0.0799925447961995,0.0979295425907305,0.4171333390454117,0.0948897101461616,0.8673655606235505,0.433155476407979,15.453616779180903,0.0,5.655519398237188e-05
dvxEYfWCBaU,"Dua Lipa, Ed Sheeran, Bruno Mars, Taylor Swift, Adele, Maroon 5, The Weeknd... - Best Pop Hits 2025",1247886,2939,0,262,28200,0.878690606855041,0.6397956762782706,0.122530850384366,0.1996643812091493,0.2176034644741908,0.7962313939404423,0.253553921765181,0.4260315550303073,0.8144895645531656,0.5139103486108586,0.0361959426910314,0.4998649947063727,0.1610920381799067,0.791126343877868,0.7200395094221266,0.3619551773821094,0.4157194696477262,0.6788495783562454,0.3060425174660753,0.3090959472348635,0.6962133575501644,0.2660088692508122,0.8554534737830777,0.9746559280402736,0.1120714515540616,0.0208076307525277,0.186884244200971,0.3615686837724824,0.6122759805545221,0.5436700585496334,0.3156529195863756,14.039314691046297,0.0023551811982976,0.0
EIUOC3DZdxE,Top Hits 2025 - Music 2025 || New Songs  Best English Songs  Best Pop Music Playlist  on Spotify,20171519,95843,237,472,41300,0.3360969508225345,0.4310627731125979,0.7237433014142388,0.3618500190469976,0.8997918548109651,0.6402366834773815,0.9974577850117838,0.855054317255142,0.8474170080233169,0.3044974285198477,0.3785697848596593,0.0611617431753357,0.6090389363888193,0.3746770670778409,0.4702629855752551,0.3198440943542466,0.3610718194522631,0.8900206528892842,0.6623699632844245,0.4582154266707308,0.3797262289644862,0.4864710867287759,0.8094935647631658,0.9055270721975426,0.6641093845913587,0.4159826867416403,0.0127242352507707,0.7862563809959885,0.3917900112566611,0.8671202646164684,0.1053829715232954,16.824522416230675,0.0047514019766482,1.17492385303636e-05
vp2ZoXIFJfw,Top Hits 2025 ~ Top Music Playlist 2025 ~ Top Songs 2025 🎶🎧,3428406,9415,393,339,1230000,0.2720482990601938,0.6236660713491747,0.4108252435271773,0.4252601984388481,0.2657111920359133,0.6444714467138173,0.6614202400343229,0.5181321871662716,0.7263587425400002,0.0054480238111338,0.2107350341811495,0.475625431363986,0.1532712533321601,0.6756457777263118,0.2435534799934648,0.4933414914681573,0.7366945854992328,0.2768838067522471,0.3625271233874427,0.7684272701342687,0.5331139910045571,0.0072218857973488,0.152395173586804,0.3054127842709236,0.0971436117714217,0.6919577050290324,0.227658730118508,0.8144806653952157,0.2380008766057498,0.0212761728689619,0.0743091814548609,15.05034868929722,0.0027461733685644,0.0001146304974876
Ki4EHQvOlrw,Top Hits 2025 ~ Summer Playlist 2025 ~ Top Songs 2025 🎶🎧,3229867,18754,126,322,1230000,0.0880201611712182,0.1994094866655784,0.8641816388279788,0.5368115779683694,0.3584645810839511,0.1262997713039858,0.747455483621918,0.7049508731738272,0.8183232765052908,0.8295924175308483,0.0235504447748473,0.9012679254233212,0.9880210402511088,0.0530424983410438,0.0892823683555378,0.1932473711157846,0.7140275723949439,0.0736164489073689,0.8763504631685363,0.8666631280428849,0.4525678663690055,0.0090222641026338,0.909913626811806,0.0927299328451836,0.9787545080272296,0.6281303130410429,0.1995046621911899,0.9531964590488274,0.175106150088769,0.362239070783489,0.1569899095390254,14.993741464392505,0.0058064292410711,3.901088217846674e-05
qr8sDWDpJic,"SZA, Billie Eilish, Adele, Sam Smith, Teddy Swims, Morgan Wallen | Best Hits Mix 2025",2263932,16381,287,280,203000,0.71679076632954,0.9686590438583615,0.4209768417445265,0.4498095255013121,0.9720595116481656,0.5043938073185344,0.0684662945490029,0.4149266388678102,0.0092207707241497,0.7956233385564443,0.5319415452770756,0.5662246181475391,0.3807836512754085,0.668784827871218,0.621300349061829,0.1513941539362966,0.9133773699796504,0.1250085580888578,0.9947344245116492,0.1309981376474749,0.2096467032404858,0.9525045799600652,0.1117963598678603,0.2738085694835089,0.0639325132873226,0.7184375357606527,0.9602805515622626,0.4147840654845195,0.8715292518177228,0.4129972552285152,0.6483476451705291,14.639823710746438,0.0072356381571362,0.0001267705360538
